,Mention,sum(count)
2213524,the free ...,466790
2209951,the ...,102959
1066831,Flickr,75262
2118621,United States,33246
3648373,California,29782
2581698,India,20997
1813816,disambiguation,20417
286960,World War II,19113
3384714,the free encyclopedia,19078
2639903,New York,18568
4456314,US state,17937
3304749,Wikipedia:Public domain,17908
3574792,public domain,17354
1928320,Copyright,17278
2118831,United States Postal Service,16886
3939334,territory,16707
4183125,publication,16679
2717722,US Code,16635
1337179,God,16283
1285538,Canada,15802
4286910,Europe,15567
759691,Japan,13195
2545218,England,12930
1335183,Germany,12791
1690295,IP address,12786
665392,Australia,12686
3278385,Texas,12471
4378558,New York City,12367
3734518,Jr.,12246
1921521,China,12114
3128895,English,11722
2224023,work prepared by an officer or employee of the United States Government as part of that person's official duties,11439
3137848,Florida,10990
3140903,French Ministry of Culture,10708
2852357,Cheap,10662
4354285,Los Angeles,10577
4325334,Italy,10519
4161529,base Mérimée,10338
3491560,National Archives and Records Administration,10240
754394,Internet,9812
4346376,Latin,9710
4389080,Paris,9597
3698994,GNU Free Documentation License,9360
1339686,Greek,9274
3574052,prime number theorem,9125
604836,personality rights,8801
3843814,The …,8734
3556368,fair use,8684
3812794,Russia,8601
3681004,Earth,8205
2024342,Massachusetts,8084
1993252,Jesus,7890
